Date,Sponsored followers,Organic followers,Auto-invited followers,Total followers
08/13/2023,0,9,0,9
08/14/2023,0,20,0,20
08/15/2023,0,31,0,31
08/16/2023,0,16,0,16
08/17/2023,0,12,0,12
08/18/2023,0,10,0,10
08/19/2023,0,19,0,19
08/20/2023,0,11,0,11
08/21/2023,0,28,0,28
08/22/2023,0,12,0,12
08/23/2023,0,26,0,26
08/24/2023,0,15,0,15
08/25/2023,0,16,0,16
08/26/2023,0,17,0,17
08/27/2023,0,19,0,19
08/28/2023,0,18,0,18
08/29/2023,0,14,0,14
08/30/2023,0,19,0,19
08/31/2023,0,11,0,11
09/01/2023,0,10,0,10
09/02/2023,0,26,0,26
09/03/2023,0,24,0,24
09/04/2023,0,20,0,20
09/05/2023,0,17,0,17
09/06/2023,0,17,0,17
09/07/2023,0,15,0,15
09/08/2023,0,16,0,16
09/09/2023,0,9,0,9
09/10/2023,0,14,0,14
09/11/2023,0,28,0,28
09/12/2023,0,21,0,21
09/13/2023,0,16,0,16
09/14/2023,0,14,0,14
09/15/2023,0,16,0,16
09/16/2023,0,21,0,21
09/17/2023,0,7,0,7
09/18/2023,0,21,0,21
09/19/2023,0,24,0,24
09/20/2023,0,18,0,18
09/21/2023,0,17,0,17
09/22/2023,0,17,0,17
09/23/2023,0,13,0,13
09/24/2023,0,15,0,15
09/25/2023,0,19,0,19
09/26/2023,0,19,0,19
09/27/2023,0,7,0,7
09/28/2023,0,14,0,14
09/29/2023,0,10,0,10
09/30/2023,0,8,0,8
10/01/2023,0,8,0,8
10/02/2023,0,31,0,31
10/03/2023,0,33,0,33
10/04/2023,0,27,0,27
10/05/2023,0,14,0,14
10/06/2023,0,16,0,16
10/07/2023,0,14,0,14
10/08/2023,0,13,0,13
10/09/2023,0,10,0,10
10/10/2023,0,16,0,16
10/11/2023,0,18,0,18
10/12/2023,0,7,0,7
10/13/2023,0,11,0,11
10/14/2023,0,12,0,12
10/15/2023,0,6,0,6
10/16/2023,0,10,0,10
10/17/2023,0,19,0,19
10/18/2023,0,15,0,15
10/19/2023,0,12,0,12
10/20/2023,0,10,0,10
10/21/2023,0,11,0,11
10/22/2023,0,8,0,8
10/23/2023,0,10,0,10
10/24/2023,0,9,0,9
10/25/2023,0,10,0,10
10/26/2023,0,8,0,8
10/27/2023,0,16,0,16
10/28/2023,0,7,0,7
10/29/2023,0,5,0,5
10/30/2023,0,14,0,14
10/31/2023,0,8,0,8
11/01/2023,0,22,0,22
11/02/2023,0,21,0,21
11/03/2023,0,22,0,22
11/04/2023,0,20,0,20
