Date,Overview page views (desktop),Overview page views (mobile),Overview page views (total),Overview unique visitors (desktop),Overview unique visitors (mobile),Overview unique visitors (total),Life page views (desktop),Life page views (mobile),Life page views (total),Life unique visitors (desktop),Life unique visitors (mobile),Life unique visitors (total),Jobs page views (desktop),Jobs page views (mobile),Jobs page views (total),Jobs unique visitors (desktop),Jobs unique visitors (mobile),Jobs unique visitors (total),Total page views (desktop),Total page views (mobile),Total page views (total),Total unique visitors (desktop),Total unique visitors (mobile),Total unique visitors (total)
08/12/2023,9,26,35,4,12,16,0,0,0,0,0,0,2,0,2,1,0,1,13,27,40,4,12,16
08/13/2023,3,22,25,3,10,13,0,0,0,0,0,0,1,0,1,1,0,1,4,23,27,3,10,13
08/14/2023,8,48,56,6,19,25,0,0,0,0,0,0,1,1,2,1,1,2,12,53,65,6,19,25
08/15/2023,38,30,68,18,12,30,0,0,0,0,0,0,1,0,1,1,0,1,45,35,80,18,12,30
08/16/2023,18,34,52,16,15,31,0,0,0,0,0,0,1,2,3,1,1,2,22,43,65,16,15,31
08/17/2023,24,27,51,13,12,25,0,0,0,0,0,0,1,0,1,1,0,1,35,27,62,14,12,26
08/18/2023,13,25,38,10,6,16,0,0,0,0,0,0,0,0,0,0,0,0,18,26,44,10,6,16
08/19/2023,7,10,17,5,6,11,0,0,0,0,0,0,1,0,1,1,0,1,10,11,21,5,6,11
08/20/2023,7,56,63,5,28,33,0,0,0,0,0,0,3,1,4,2,1,3,14,65,79,5,28,33
08/21/2023,16,53,69,11,26,37,0,0,0,0,0,0,0,1,1,0,1,1,18,55,73,11,26,37
08/22/2023,56,185,241,47,91,137,0,0,0,0,0,0,4,2,6,4,2,6,68,208,276,47,91,137
08/23/2023,28,62,90,20,33,53,0,0,0,0,0,0,2,0,2,2,0,2,37,67,104,20,33,53
08/24/2023,15,35,50,8,15,23,0,0,0,0,0,0,1,0,1,1,0,1,25,38,63,8,15,23
08/25/2023,22,50,72,13,23,36,0,0,0,0,0,0,1,4,5,1,4,5,27,67,94,13,23,36
08/26/2023,2,24,26,2,9,11,0,0,0,0,0,0,0,2,2,0,2,2,3,27,30,2,9,11
08/27/2023,11,33,44,5,13,18,0,0,0,0,0,0,0,0,0,0,0,0,13,36,49,6,13,19
